"","X","url_name","user_name","review_links","Rank","Reviews","Helpful_votes","X._helpful","last_page","scraper"
"77",77,"ALYZJ7W14YS26","iiiireader","/gp/cdp/member-reviews/ALYZJ7W14YS26/ref=cm_cr_tr_tbl_77_sar?ie=UTF8&sort_by=MostRecentReview","# 77 ",3545,4380,0.96,354,"Curtis"
"78",78,"A2XOOQ9N7OQVIA","Leslie","/gp/cdp/member-reviews/A2XOOQ9N7OQVIA/ref=cm_cr_tr_tbl_78_sar?ie=UTF8&sort_by=MostRecentReview","# 78 ",466,4514,0.96,46,"Ryan"
"79",79,"A26877IWJGISYM","Lon J. Seidman","/gp/cdp/member-reviews/A26877IWJGISYM/ref=cm_cr_tr_tbl_79_sar?ie=UTF8&sort_by=MostRecentReview","# 79 ",538,15762,0.96,53,"Nate"
"80",80,"ATFBVUXDIRXT6","D. Matheny","/gp/cdp/member-reviews/ATFBVUXDIRXT6/ref=cm_cr_tr_tbl_80_sar?ie=UTF8&sort_by=MostRecentReview","# 80 ",636,12167,0.96,63,"Joe"
"81",81,"A2LXOCYJ2CGMHK","Daniel","/gp/cdp/member-reviews/A2LXOCYJ2CGMHK/ref=cm_cr_tr_tbl_81_sar?ie=UTF8&sort_by=MostRecentReview","# 81 ",304,1423,0.96,30,"Curtis"
"82",82,"A1RPTVW5VEOSI","Michael J. Edelman","/gp/cdp/member-reviews/A1RPTVW5VEOSI/ref=cm_cr_tr_tbl_82_sar?ie=UTF8&sort_by=MostRecentReview","# 82 ",1999,25379,0.96,199,"Ryan"
"83",83,"A3UW23DBF2KHWC","Helpful Advice","/gp/cdp/member-reviews/A3UW23DBF2KHWC/ref=cm_cr_tr_tbl_83_sar?ie=UTF8&sort_by=MostRecentReview","# 83 ",2256,9610,0.96,225,"Nate"
"84",84,"AIBRTGBN07D6A","Scott","/gp/cdp/member-reviews/AIBRTGBN07D6A/ref=cm_cr_tr_tbl_84_sar?ie=UTF8&sort_by=MostRecentReview","# 84 ",798,58880,0.96,79,"Joe"
"85",85,"A30R8VFR16RE32","Amazon Customer Since Amazon Sold Only Books","/gp/cdp/member-reviews/A30R8VFR16RE32/ref=cm_cr_tr_tbl_85_sar?ie=UTF8&sort_by=MostRecentReview","# 85 ",915,8612,0.96,91,"Curtis"
"86",86,"A1EVV74UQYVKRY","K. Groh","/gp/cdp/member-reviews/A1EVV74UQYVKRY/ref=cm_cr_tr_tbl_86_sar?ie=UTF8&sort_by=MostRecentReview","# 86 ",3369,9077,0.96,336,"Ryan"
"87",87,"A10ZFE6YE0UHW8","C. MacPhail","/gp/cdp/member-reviews/A10ZFE6YE0UHW8/ref=cm_cr_tr_tbl_87_sar?ie=UTF8&sort_by=MostRecentReview","# 87 ",848,12457,0.96,84,"Nate"
"88",88,"A1UIMU8Q87ZPCH","Darren Levine","/gp/cdp/member-reviews/A1UIMU8Q87ZPCH/ref=cm_cr_tr_tbl_88_sar?ie=UTF8&sort_by=MostRecentReview","# 88 ",258,7575,0.96,25,"Joe"
